Rk;Player;Pos;Age;Tm;G;MP;PER;TS%;3PAr;FTr;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Column1;OWS;DWS;WS;WS/48;2;OBPM;DBPM;BPM;VORP
463;Caleb Swanigan;PF;22;POR;20;265;82;.605;.047;.349;100;265;183;141;4;16;385;129;;-1;2;1;.020;;-55;-1;-56;-2
464;Jayson Tatum;PF;21;BOS;66;2265;204;.567;.383;.255;31;185;109;145;20;23;102;286;;32;37;69;.146;;35;6;40;34
465;Jeff Teague;PG;31;TOT;59;1464;146;.557;.239;.403;19;86;52;307;14;11;168;195;;19;6;25;.082;;-2;-13;-15;2
465;Jeff Teague;PG;31;MIN;34;945;159;.578;.269;.444;16;85;49;325;12;11;164;202;;17;4;21;.108;;6;-12;-6;3
465;Jeff Teague;PG;31;ATL;25;519;122;.512;.182;.321;25;88;56;273;17;10;175;183;;2;2;4;.035;;-16;-15;-31;-2
466;Garrett Temple;SG;33;BRK;62;1730;105;.513;.658;.148;18;111;65;128;13;14;90;166;;7;17;24;.066;;-14;3;-11;4
467;Daniel Theis;C;27;BOS;65;1566;179;.631;.225;.268;97;193;146;101;11;50;102;144;;40;26;65;.201;;6;18;24;17
468;Isaiah Thomas;PG;30;WAS;40;925;116;.531;.444;.178;12;70;40;234;7;6;144;241;;1;-1;0;.002;;-5;-39;-43;-5
469;Khyri Thomas;SG;23;DET;8;61;31;.453;.824;.235;18;0;9;67;24;0;138;156;;-1;0;0;-0.038;;-62;-17;-79;-1
470;Lance Thomas;PF;31;BRK;7;98;30;.485;.565;.174;22;114;69;82;0;0;195;131;;-1;1;0;-0.015;;-57;-26;-83;-2
471;Matt Thomas;SG;25;TOR;41;440;133;.650;.660;.080;22;122;73;75;11;2;93;166;;7;6;12;.133;;10;1;11;3
472;Tristan Thompson;PF;28;CLE;57;1721;168;.540;.041;.286;145;229;186;105;9;25;140;183;;20;11;31;.085;;-3;-13;-15;2
473;Sindarius Thornwell;SF;25;NOP;2;35;147;.627;.364;.364;0;122;61;161;13;24;136;173;;0;0;1;.101;;-1;-12;-13;0
474;Matisse Thybulle;SG;22;PHI;65;1287;100;.539;.592;.155;38;54;46;80;35;31;153;112;;3;20;23;.086;;-28;31;3;8
475;Anthony Tolliver;PF;34;TOT;55;872;70;.513;.797;.159;41;143;93;60;10;11;149;111;;0;4;5;.026;;-27;-5;-32;-3
475;Anthony Tolliver;PF;34;POR;33;554;75;.515;.761;.162;52;155;104;66;7;14;143;112;;2;2;4;.031;;-23;-9;-33;-2
475;Anthony Tolliver;PF;34;SAC;9;82;2;.252;.882;.118;27;127;76;45;24;12;183;116;;-2;1;-2;-0.100;;-78;-10;-88;-1
475;Anthony Tolliver;PF;34;MEM;13;236;80;.602;.854;.167;23;123;74;53;14;4;149;107;;1;2;3;.061;;-17;6;-12;0
476;Juan Toscano-Anderson;SG;26;GSW;13;272;94;.529;.365;.079;35;178;104;138;23;17;197;127;;-1;2;2;.030;;-40;5;-35;-1
477;Karl-Anthony Towns;C;24;MIN;35;1187;265;.642;.445;.363;81;261;168;228;13;29;132;288;;37;13;51;.204;;70;8;78;29
478;Gary Trent Jr.;SF;21;POR;61;1332;129;.587;.608;.102;20;58;39;63;17;10;44;153;;22;3;25;.089;;5;-8;-3;6
479;Allonzo Trier;SG;24;NYK;24;291;145;.620;.500;.406;21;87;53;148;5;13;150;214;;5;1;5;.087;;9;-14;-5;1
480;P.J. Tucker;PF;34;HOU;72;2467;83;.559;.702;.113;47;156;101;60;14;12;139;87;;16;24;40;.078;;-24;6;-19;1
481;Rayjon Tucker;SG;22;UTA;20;161;97;.584;.395;.535;21;112;68;44;3;5;131;166;;1;1;2;.063;;-38;-22;-60;-2
482;Evan Turner;SG;31;ATL;19;251;68;.424;.075;.209;34;130;82;206;17;27;262;164;;-5;1;-3;-0.064;;-49;-7;-56;-2
483;Myles Turner;C;23;IND;62;1826;148;.566;.426;.288;52;191;122;54;12;64;114;179;;11;31;42;.111;;-10;11;1;10
484;Jarrod Uthoff;PF;26;TOT;7;53;88;.503;.500;.111;40;86;61;0;9;0;0;148;;0;0;0;.018;;-23;-22;-45;0
484;Jarrod Uthoff;PF;26;MEM;4;14;-1;.254;.571;.286;77;0;38;0;33;0;0;234;;-1;0;0;-0.166;;-111;-24;-135;0
